City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
406,henties bay,-22.116,14.2845,288.81,92,5,2.02,NA,1680384875
407,naifaru,5.4444,73.3657,301.24,66,58,3.07,MV,1680384875
408,itamaraju,-17.0392,-39.5311,297.89,81,37,2.98,BR,1680384618
409,flinders,-34.5833,150.8552,288.81,90,97,0.89,AU,1680384876
410,la ronge,55.1001,-105.2842,271.29,64,100,7.72,CA,1680384617
411,coquimbo,-29.9533,-71.3436,293.0,68,0,5.14,CL,1680384598
412,dongkan,33.9997,119.8308,281.21,60,0,2.99,CN,1680384876
413,lazaro cardenas,17.9583,-102.2,302.81,44,38,4.81,MX,1680384877
414,zongozotla,19.9833,-97.7333,297.91,71,68,2.15,MX,1680384877
415,yulara,-25.2406,130.9889,288.6,75,39,3.08,AU,1680384877
416,karakol,42.4907,78.3936,274.91,26,0,2.89,KG,1680384877
417,ailigandi,9.2333,-78.0167,299.3,85,100,6.19,PA,1680384877
418,gao,16.6362,1.637,299.49,11,87,5.48,ML,1680384878
419,nogales,31.3086,-110.9422,297.91,7,0,6.17,MX,1680384654
420,borogontsy,62.6683,131.1683,253.07,91,13,3.66,RU,1680384878
421,umm lajj,25.0213,37.2685,293.93,49,0,5.02,SA,1680384878
422,beckley,37.7782,-81.1882,292.38,22,75,11.32,US,1680384878
423,naze,28.3667,129.4833,288.66,80,29,10.6,JP,1680384879
424,kandrian,-6.2167,149.55,299.6,83,100,1.37,PG,1680384879
425,moron,-34.6534,-58.6198,295.33,69,12,2.99,AR,1680384879
426,sao paulo de olivenca,-3.3783,-68.8725,297.53,97,94,1.23,BR,1680384879
427,kudahuvadhoo,2.6708,72.8944,300.73,72,36,1.59,MV,1680384880
428,autazes,-3.5797,-59.1306,296.48,99,100,0.22,BR,1680384880
429,nemuro,43.3236,145.575,273.82,80,23,7.64,JP,1680384880
430,nouakchott,18.0858,-15.9785,302.11,30,0,4.53,MR,1680384880
431,miles city,46.4083,-105.8406,287.69,28,100,6.69,US,1680384881
432,bairiki,1.3292,172.9752,301.15,78,75,3.6,KI,1680384881
433,jijiga,9.35,42.8,292.66,75,100,2.26,ET,1680384881
434,san ignacio,17.1561,-89.0714,308.23,38,40,4.12,BZ,1680384881
435,oranjemund,-28.55,16.4333,289.24,95,4,3.05,NA,1680384882
436,terme,41.2092,36.9739,282.11,74,99,2.46,TR,1680384882
437,bima,-8.4667,118.7167,296.99,94,94,0.48,ID,1680384882
438,olinda,-8.0089,-34.8553,302.0,65,20,3.09,BR,1680384882
439,felanitx,39.4696,3.1483,289.44,80,44,5.76,ES,1680384883
440,quatre cocos,-20.2078,57.7625,298.21,79,12,3.17,MU,1680384883
441,voh,-20.9667,164.7,301.08,71,13,0.62,NC,1680384883
442,nichlaul,27.3167,83.7333,291.26,63,5,1.52,IN,1680384884
443,aksha,50.2814,113.2867,266.81,84,100,5.2,RU,1680384884
444,muskegon,43.3,-86.1334,277.21,69,100,9.26,US,1680384884
445,portadown,54.4241,-6.4412,282.05,95,100,3.87,GB,1680384884
446,sabang,5.8933,95.3214,300.83,74,97,3.22,ID,1680384885
447,puerto madero,14.7208,-92.4215,305.26,66,75,6.69,MX,1680384885
448,acarau,-2.8856,-40.12,299.15,81,100,3.31,BR,1680384708
449,alice springs,-23.7,133.8833,289.9,94,100,0.0,AU,1680384885
450,haverfordwest,51.8017,-4.9691,281.51,89,87,0.89,GB,1680384885
451,altay,47.8667,88.1167,263.57,52,99,4.22,CN,1680384886
452,yar-sale,66.8333,70.8333,274.03,99,100,7.73,RU,1680384886
453,apollonia,36.9716,24.7231,287.79,86,100,12.7,GR,1680384886
454,palmas,-10.2128,-48.3603,301.08,78,40,0.0,BR,1680384887
455,kloulklubed,7.0419,134.2556,296.43,72,76,1.11,PW,1680384887
456,mehamn,71.0357,27.8492,270.12,68,100,11.83,NO,1680384887
457,pahrump,36.2083,-115.9839,293.68,16,2,4.47,US,1680384612
458,thinadhoo,0.5333,72.9333,300.62,76,97,1.89,MV,1680384887
